Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
01/11/2025,01/11/2025,01/12/2025,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Dividend Reinvestment,Buy,0.001275,$70.02,($0.09)
08/10/2024,08/10/2024,08/12/2024,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Dividend Reinvestment,Buy,0.001088,$135.92,($0.15)
12/18/2024,12/18/2024,12/20/2024,TSLA,Tesla Inc CUSIP: 88160R101 Dividend Reinvestment,Buy,0.001082,$312.55,($0.34)
05/09/2025,05/09/2025,05/09/2025,MSFT,Microsoft Corporation CUSIP: 594918104 Cash Div: R/D 05/03/2025 P/D 05/09/2025 - 0.106617 shares at 1.0446,CDIV,,,$0.11
12/16/2024,12/16/2024,12/16/2024,QCOM,Qualcomm CUSIP: 747525103 Cash Div: R/D 12/10/2024 P/D 12/16/2024 - 0.390511 shares at 1.0,CDIV,,,$0.39
02/11/2025,02/11/2025,02/12/2025,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Dividend Reinvestment,Buy,0.001335,$203.17,($0.27)
09/10/2024,09/10/2024,09/12/2024,MSFT,Microsoft Corporation CUSIP: 594918104 Dividend Reinvestment,Buy,0.000181,$496.01,($0.09)
06/16/2025,06/16/2025,06/18/2025,QCOM,Qualcomm CUSIP: 747525103 Dividend Reinvestment,Buy,0.001231,$152.34,($0.19)
04/11/2025,04/11/2025,04/13/2025,JNJ,Johnson & Johnson CUSIP: 478160104 Dividend Reinvestment,Buy,0.001093,$135.03,($0.15)
03/26/2025,03/26/2025,03/26/2025,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Cash Div: R/D 03/22/2025 P/D 03/26/2025 - 0.104149 shares at 0.9998,CDIV,,,$0.10
05/01/2025,05/01/2025,05/01/2025,JNJ,Johnson & Johnson CUSIP: 478160104 Cash Div: R/D 04/25/2025 P/D 05/01/2025 - 0.341421 shares at 0.6143,CDIV,,,$0.21
01/10/2025,01/10/2025,01/11/2025,QCOM,Qualcomm CUSIP: 747525103 Dividend Reinvestment,Buy,0.000225,$165.41,($0.04)
12/04/2024,12/04/2024,12/04/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 12/01/2024 P/D 12/04/2024 - 0.45281 shares at 0.9691,CDIV,,,$0.44
04/19/2025,04/19/2025,04/19/2025,AAPL,Apple Inc CUSIP: 037833100 Cash Div: R/D 04/16/2025 P/D 04/19/2025 - 0.426518 shares at 0.7362,CDIV,,,$0.31
10/26/2024,10/26/2024,10/26/2024,MSFT,Microsoft Corporation CUSIP: 594918104 Cash Div: R/D 10/23/2024 P/D 10/26/2024 - 0.418399 shares at 0.6882,CDIV,,,$0.29
02/09/2025,02/09/2025,02/09/2025,QCOM,Qualcomm CUSIP: 747525103 Cash Div: R/D 02/06/2025 P/D 02/09/2025 - 0.223936 shares at 1.1301,CDIV,,,$0.25
07/02/2025,07/02/2025,07/02/2025,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 06/28/2025 P/D 07/02/2025 - 0.14953 shares at 0.6028,CDIV,,,$0.09
03/25/2025,03/25/2025,03/26/2025,TSLA,Tesla Inc CUSIP: 88160R101 Dividend Reinvestment,Buy,0.000876,$381.30,($0.33)
06/12/2025,06/12/2025,06/12/2025,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Cash Div: R/D 06/06/2025 P/D 06/12/2025 - 0.192776 shares at 0.8243,CDIV,,,$0.16
03/17/2025,03/17/2025,03/17/2025,TSLA,Tesla Inc CUSIP: 88160R101 Cash Div: R/D 03/10/2025 P/D 03/17/2025 - 0.267097 shares at 1.1853,CDIV,,,$0.32
08/01/2024,08/01/2024,08/03/2024,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Dividend Reinvestment,Buy,0.000818,$554.31,($0.45)
07/18/2024,07/18/2024,07/18/2024,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 07/15/2024 P/D 07/18/2024 - 0.20042 shares at 0.7613,CDIV,,,$0.15
12/07/2024,12/07/2024,12/07/2024,QCOM,Qualcomm CUSIP: 747525103 Cash Div: R/D 12/02/2024 P/D 12/07/2024 - 0.263738 shares at 0.8327,CDIV,,,$0.22
07/09/2024,07/09/2024,07/09/2024,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Cash Div: R/D 07/02/2024 P/D 07/09/2024 - 0.351365 shares at 1.1429,CDIV,,,$0.40
11/05/2024,11/05/2024,11/07/2024,JNJ,Johnson & Johnson CUSIP: 478160104 Dividend Reinvestment,Buy,0.000161,$143.78,($0.02)
01/20/2025,01/20/2025,01/20/2025,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 01/17/2025 P/D 01/20/2025 - 0.128194 shares at 0.4628,CDIV,,,$0.06
05/08/2025,05/08/2025,05/09/2025,AAPL,Apple Inc CUSIP: 037833100 Dividend Reinvestment,Buy,0.000353,$224.53,($0.08)
02/10/2025,02/10/2025,02/10/2025,TSLA,Tesla Inc CUSIP: 88160R101 Cash Div: R/D 02/07/2025 P/D 02/10/2025 - 0.144797 shares at 0.9555,CDIV,,,$0.14
11/29/2024,11/29/2024,11/30/2024,TSLA,Tesla Inc CUSIP: 88160R101 Dividend Reinvestment,Buy,0.000652,$356.95,($0.23)
03/02/2025,03/02/2025,03/03/2025,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Dividend Reinvestment,Buy,0.000938,$512.18,($0.48)
10/09/2024,10/09/2024,10/09/2024,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 10/04/2024 P/D 10/09/2024 - 0.439039 shares at 0.5719,CDIV,,,$0.25
09/05/2024,09/05/2024,09/05/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 08/30/2024 P/D 09/05/2024 - 0.470981 shares at 1.1334,CDIV,,,$0.53
12/06/2024,12/06/2024,12/07/2024,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Dividend Reinvestment,Buy,0.001237,$77.71,($0.10)
07/31/2024,07/31/2024,07/31/2024,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 07/25/2024 P/D 07/31/2024 - 0.3467 shares at 0.9841,CDIV,,,$0.34
10/23/2024,10/23/2024,10/23/2024,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Cash Div: R/D 10/19/2024 P/D 10/23/2024 - 0.281604 shares at 1.0022,CDIV,,,$0.28
12/24/2024,12/24/2024,12/24/2024,JNJ,Johnson & Johnson CUSIP: 478160104 Cash Div: R/D 12/20/2024 P/D 12/24/2024 - 0.481708 shares at 1.0863,CDIV,,,$0.52
10/02/2024,10/02/2024,10/02/2024,MSFT,Microsoft Corporation CUSIP: 594918104 Cash Div: R/D 09/25/2024 P/D 10/02/2024 - 0.144055 shares at 0.4614,CDIV,,,$0.07
03/15/2025,03/15/2025,03/16/2025,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Dividend Reinvestment,Buy,0.000865,$496.88,($0.43)
05/02/2025,05/02/2025,05/02/2025,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Cash Div: R/D 04/28/2025 P/D 05/02/2025 - 0.260928 shares at 0.7372,CDIV,,,$0.19
12/29/2024,12/29/2024,12/29/2024,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Cash Div: R/D 12/22/2024 P/D 12/29/2024 - 0.187616 shares at 0.9929,CDIV,,,$0.19
06/27/2025,06/27/2025,06/28/2025,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Dividend Reinvestment,Buy,0.000300,$193.93,($0.06)
04/14/2025,04/14/2025,04/16/2025,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Dividend Reinvestment,Buy,0.001129,$548.77,($0.62)
07/07/2024,07/07/2024,07/09/2024,AAPL,Apple Inc CUSIP: 037833100 Dividend Reinvestment,Buy,0.000709,$206.44,($0.15)
09/03/2024,09/03/2024,09/05/2024,MSFT,Microsoft Corporation CUSIP: 594918104 Dividend Reinvestment,Buy,0.000166,$430.63,($0.07)
05/20/2025,05/20/2025,05/22/2025,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Dividend Reinvestment,Buy,0.000397,$185.38,($0.07)
04/05/2025,04/05/2025,04/07/2025,JNJ,Johnson & Johnson CUSIP: 478160104 Dividend Reinvestment,Buy,0.001439,$151.98,($0.22)
05/18/2025,05/18/2025,05/19/2025,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Dividend Reinvestment,Buy,0.000295,$112.98,($0.03)
07/22/2024,07/22/2024,07/22/2024,AAPL,Apple Inc CUSIP: 037833100 Cash Div: R/D 07/17/2024 P/D 07/22/2024 - 0.132964 shares at 0.7521,CDIV,,,$0.10
07/14/2024,07/14/2024,07/15/2024,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Dividend Reinvestment,Buy,0.000745,$208.61,($0.16)
12/31/2024,12/31/2024,12/31/2024,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Cash Div: R/D 12/24/2024 P/D 12/31/2024 - 0.439118 shares at 0.5501,CDIV,,,$0.24
03/24/2025,03/24/2025,03/24/2025,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Cash Div: R/D 03/20/2025 P/D 03/24/2025 - 0.243101 shares at 0.603,CDIV,,,$0.15
07/23/2024,07/23/2024,07/25/2024,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Dividend Reinvestment,Buy,0.000932,$557.57,($0.52)
06/10/2025,06/10/2025,06/12/2025,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Dividend Reinvestment,Buy,0.000692,$503.03,($0.35)
05/23/2025,05/23/2025,05/23/2025,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 05/17/2025 P/D 05/23/2025 - 0.210691 shares at 0.4251,CDIV,,,$0.09
02/19/2025,02/19/2025,02/20/2025,JNJ,Johnson & Johnson CUSIP: 478160104 Dividend Reinvestment,Buy,0.001161,$167.79,($0.19)
01/14/2025,01/14/2025,01/16/2025,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Dividend Reinvestment,Buy,0.000932,$571.42,($0.53)
01/11/2025,01/11/2025,01/12/2025,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Dividend Reinvestment,Buy,0.001090,$126.85,($0.14)
03/24/2025,03/24/2025,03/24/2025,JNJ,Johnson & Johnson CUSIP: 478160104 Cash Div: R/D 03/20/2025 P/D 03/24/2025 - 0.11039 shares at 0.7213,CDIV,,,$0.08
02/02/2025,02/02/2025,02/02/2025,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Cash Div: R/D 01/30/2025 P/D 02/02/2025 - 0.454237 shares at 0.9162,CDIV,,,$0.42
04/01/2025,04/01/2025,04/02/2025,MSFT,Microsoft Corporation CUSIP: 594918104 Dividend Reinvestment,Buy,0.000966,$430.76,($0.42)
03/02/2025,03/02/2025,03/02/2025,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Cash Div: R/D 02/24/2025 P/D 03/02/2025 - 0.490775 shares at 0.5378,CDIV,,,$0.26
03/01/2025,03/01/2025,03/03/2025,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Dividend Reinvestment,Buy,0.001366,$515.73,($0.70)
01/25/2025,01/25/2025,01/25/2025,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 01/22/2025 P/D 01/25/2025 - 0.124059 shares at 0.708,CDIV,,,$0.09
01/08/2025,01/08/2025,01/10/2025,TSLA,Tesla Inc CUSIP: 88160R101 Dividend Reinvestment,Buy,0.001383,$357.53,($0.49)
01/29/2025,01/29/2025,01/30/2025,AAPL,Apple Inc CUSIP: 037833100 Dividend Reinvestment,Buy,0.000833,$299.93,($0.25)
02/06/2025,02/06/2025,02/08/2025,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Dividend Reinvestment,Buy,0.000504,$241.02,($0.12)
05/08/2025,05/08/2025,05/08/2025,MSFT,Microsoft Corporation CUSIP: 594918104 Cash Div: R/D 05/04/2025 P/D 05/08/2025 - 0.347057 shares at 0.544,CDIV,,,$0.19
03/25/2025,03/25/2025,03/25/2025,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 03/19/2025 P/D 03/25/2025 - 0.181233 shares at 1.0031,CDIV,,,$0.18
01/05/2025,01/05/2025,01/05/2025,TSLA,Tesla Inc CUSIP: 88160R101 Cash Div: R/D 01/01/2025 P/D 01/05/2025 - 0.413188 shares at 0.7747,CDIV,,,$0.32
11/05/2024,11/05/2024,11/05/2024,QCOM,Qualcomm CUSIP: 747525103 Cash Div: R/D 11/02/2024 P/D 11/05/2024 - 0.447188 shares at 1.1438,CDIV,,,$0.51
09/04/2024,09/04/2024,09/06/2024,TSLA,Tesla Inc CUSIP: 88160R101 Dividend Reinvestment,Buy,0.001354,$370.46,($0.50)
10/18/2024,10/18/2024,10/20/2024,QCOM,Qualcomm CUSIP: 747525103 Dividend Reinvestment,Buy,0.000766,$179.03,($0.14)
04/26/2025,04/26/2025,04/27/2025,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Dividend Reinvestment,Buy,0.000184,$76.27,($0.01)
11/01/2024,11/01/2024,11/01/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 10/29/2024 P/D 11/01/2024 - 0.395792 shares at 1.0782,CDIV,,,$0.43
10/22/2024,10/22/2024,10/22/2024,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Cash Div: R/D 10/16/2024 P/D 10/22/2024 - 0.220044 shares at 0.4546,CDIV,,,$0.10
07/28/2024,07/28/2024,07/28/2024,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 07/21/2024 P/D 07/28/2024 - 0.455442 shares at 0.5371,CDIV,,,$0.24
04/21/2025,04/21/2025,04/21/2025,JNJ,Johnson & Johnson CUSIP: 478160104 Cash Div: R/D 04/14/2025 P/D 04/21/2025 - 0.408815 shares at 0.872,CDIV,,,$0.36
01/13/2025,01/13/2025,01/13/2025,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Cash Div: R/D 01/06/2025 P/D 01/13/2025 - 0.13773 shares at 0.8919,CDIV,,,$0.12
11/17/2024,11/17/2024,11/17/2024,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 11/12/2024 P/D 11/17/2024 - 0.267951 shares at 0.5674,CDIV,,,$0.15
03/26/2025,03/26/2025,03/27/2025,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Dividend Reinvestment,Buy,0.001010,$117.31,($0.12)
10/09/2024,10/09/2024,10/09/2024,AAPL,Apple Inc CUSIP: 037833100 Cash Div: R/D 10/04/2024 P/D 10/09/2024 - 0.101373 shares at 0.6053,CDIV,,,$0.06
11/02/2024,11/02/2024,11/02/2024,MSFT,Microsoft Corporation CUSIP: 594918104 Cash Div: R/D 10/26/2024 P/D 11/02/2024 - 0.324159 shares at 0.9074,CDIV,,,$0.29
09/12/2024,09/12/2024,09/12/2024,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Cash Div: R/D 09/08/2024 P/D 09/12/2024 - 0.498572 shares at 0.7129,CDIV,,,$0.36
06/28/2025,06/28/2025,06/28/2025,AAPL,Apple Inc CUSIP: 037833100 Cash Div: R/D 06/25/2025 P/D 06/28/2025 - 0.466366 shares at 0.5529,CDIV,,,$0.26
08/19/2024,08/19/2024,08/21/2024,JNJ,Johnson & Johnson CUSIP: 478160104 Dividend Reinvestment,Buy,0.001412,$149.09,($0.21)
03/17/2025,03/17/2025,03/19/2025,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Dividend Reinvestment,Buy,0.001480,$514.01,($0.76)
02/27/2025,02/27/2025,03/01/2025,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Dividend Reinvestment,Buy,0.001115,$520.56,($0.58)
08/27/2024,08/27/2024,08/28/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Dividend Reinvestment,Buy,0.001166,$533.42,($0.62)
12/31/2024,12/31/2024,12/31/2024,TSLA,Tesla Inc CUSIP: 88160R101 Cash Div: R/D 12/27/2024 P/D 12/31/2024 - 0.210441 shares at 1.1523,CDIV,,,$0.24
11/09/2024,11/09/2024,11/09/2024,MSFT,Microsoft Corporation CUSIP: 594918104 Cash Div: R/D 11/04/2024 P/D 11/09/2024 - 0.205019 shares at 1.0577,CDIV,,,$0.22
03/24/2025,03/24/2025,03/24/2025,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Cash Div: R/D 03/17/2025 P/D 03/24/2025 - 0.479063 shares at 0.7315,CDIV,,,$0.35
03/06/2025,03/06/2025,03/06/2025,AAPL,Apple Inc CUSIP: 037833100 Cash Div: R/D 03/03/2025 P/D 03/06/2025 - 0.288066 shares at 0.8788,CDIV,,,$0.25
04/09/2025,04/09/2025,04/11/2025,JNJ,Johnson & Johnson CUSIP: 478160104 Dividend Reinvestment,Buy,0.000878,$168.63,($0.15)
07/26/2024,07/26/2024,07/27/2024,QCOM,Qualcomm CUSIP: 747525103 Dividend Reinvestment,Buy,0.001411,$160.67,($0.23)
07/02/2025,07/02/2025,07/02/2025,AAPL,Apple Inc CUSIP: 037833100 Cash Div: R/D 06/25/2025 P/D 07/02/2025 - 0.187504 shares at 0.7096,CDIV,,,$0.13
06/29/2025,06/29/2025,07/01/2025,QCOM,Qualcomm CUSIP: 747525103 Dividend Reinvestment,Buy,0.001038,$174.51,($0.18)
08/17/2024,08/17/2024,08/18/2024,JNJ,Johnson & Johnson CUSIP: 478160104 Dividend Reinvestment,Buy,0.001086,$168.82,($0.18)
07/07/2024,07/07/2024,07/09/2024,TSLA,Tesla Inc CUSIP: 88160R101 Dividend Reinvestment,Buy,0.000337,$442.52,($0.15)
12/04/2024,12/04/2024,12/06/2024,AAPL,Apple Inc CUSIP: 037833100 Dividend Reinvestment,Buy,0.000907,$204.04,($0.19)
01/01/2025,01/01/2025,01/02/2025,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Dividend Reinvestment,Buy,0.000945,$71.48,($0.07)
11/09/2024,11/09/2024,11/09/2024,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Cash Div: R/D 11/06/2024 P/D 11/09/2024 - 0.308916 shares at 0.6413,CDIV,,,$0.20
11/08/2024,11/08/2024,11/08/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 11/05/2024 P/D 11/08/2024 - 0.41546 shares at 1.1211,CDIV,,,$0.47
12/28/2024,12/28/2024,12/28/2024,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 12/23/2024 P/D 12/28/2024 - 0.367936 shares at 0.8251,CDIV,,,$0.30
06/01/2025,06/01/2025,06/02/2025,MSFT,Microsoft Corporation CUSIP: 594918104 Dividend Reinvestment,Buy,0.001294,$400.91,($0.52)
03/08/2025,03/08/2025,03/09/2025,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Dividend Reinvestment,Buy,0.000545,$190.66,($0.10)
06/13/2025,06/13/2025,06/15/2025,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Dividend Reinvestment,Buy,0.001323,$126.09,($0.17)
07/03/2024,07/03/2024,07/05/2024,TSLA,Tesla Inc CUSIP: 88160R101 Dividend Reinvestment,Buy,0.000421,$436.81,($0.18)
06/06/2025,06/06/2025,06/08/2025,MSFT,Microsoft Corporation CUSIP: 594918104 Dividend Reinvestment,Buy,0.001240,$466.70,($0.58)
06/23/2025,06/23/2025,06/23/2025,TSLA,Tesla Inc CUSIP: 88160R101 Cash Div: R/D 06/16/2025 P/D 06/23/2025 - 0.223056 shares at 0.6406,CDIV,,,$0.14
10/24/2024,10/24/2024,10/25/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Dividend Reinvestment,Buy,0.001126,$457.12,($0.51)
05/16/2025,05/16/2025,05/16/2025,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 05/11/2025 P/D 05/16/2025 - 0.490437 shares at 0.6763,CDIV,,,$0.33
01/06/2025,01/06/2025,01/07/2025,MSFT,Microsoft Corporation CUSIP: 594918104 Dividend Reinvestment,Buy,0.000982,$457.93,($0.45)
02/23/2025,02/23/2025,02/23/2025,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Cash Div: R/D 02/17/2025 P/D 02/23/2025 - 0.290219 shares at 0.6048,CDIV,,,$0.18
05/21/2025,05/21/2025,05/23/2025,MSFT,Microsoft Corporation CUSIP: 594918104 Dividend Reinvestment,Buy,0.000796,$496.51,($0.40)
04/05/2025,04/05/2025,04/05/2025,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 03/30/2025 P/D 04/05/2025 - 0.229346 shares at 1.0613,CDIV,,,$0.24
07/27/2024,07/27/2024,07/27/2024,AAPL,Apple Inc CUSIP: 037833100 Cash Div: R/D 07/20/2024 P/D 07/27/2024 - 0.360071 shares at 0.9922,CDIV,,,$0.36
01/20/2025,01/20/2025,01/20/2025,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 01/16/2025 P/D 01/20/2025 - 0.492458 shares at 0.5875,CDIV,,,$0.29
06/25/2025,06/25/2025,06/26/2025,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Dividend Reinvestment,Buy,0.000955,$116.74,($0.11)
02/13/2025,02/13/2025,02/14/2025,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Dividend Reinvestment,Buy,0.000264,$588.13,($0.16)
04/15/2025,04/15/2025,04/15/2025,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Cash Div: R/D 04/11/2025 P/D 04/15/2025 - 0.471965 shares at 1.0575,CDIV,,,$0.50
07/29/2024,07/29/2024,07/31/2024,TSLA,Tesla Inc CUSIP: 88160R101 Dividend Reinvestment,Buy,0.000541,$397.10,($0.21)
09/15/2024,09/15/2024,09/17/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Dividend Reinvestment,Buy,0.000579,$454.21,($0.26)
03/07/2025,03/07/2025,03/07/2025,QCOM,Qualcomm CUSIP: 747525103 Cash Div: R/D 03/02/2025 P/D 03/07/2025 - 0.48249 shares at 0.8748,CDIV,,,$0.42
01/23/2025,01/23/2025,01/23/2025,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Cash Div: R/D 01/20/2025 P/D 01/23/2025 - 0.174062 shares at 0.9764,CDIV,,,$0.17
11/15/2024,11/15/2024,11/15/2024,MSFT,Microsoft Corporation CUSIP: 594918104 Cash Div: R/D 11/11/2024 P/D 11/15/2024 - 0.309109 shares at 0.4525,CDIV,,,$0.14
10/30/2024,10/30/2024,10/30/2024,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Cash Div: R/D 10/26/2024 P/D 10/30/2024 - 0.29302 shares at 0.5693,CDIV,,,$0.17
12/05/2024,12/05/2024,12/05/2024,MSFT,Microsoft Corporation CUSIP: 594918104 Cash Div: R/D 11/28/2024 P/D 12/05/2024 - 0.494212 shares at 0.8816,CDIV,,,$0.44
07/11/2024,07/11/2024,07/11/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 07/08/2024 P/D 07/11/2024 - 0.14842 shares at 0.9182,CDIV,,,$0.14
07/03/2024,07/03/2024,07/04/2024,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Dividend Reinvestment,Buy,0.000471,$89.65,($0.04)
02/15/2025,02/15/2025,02/17/2025,MSFT,Microsoft Corporation CUSIP: 594918104 Dividend Reinvestment,Buy,0.001048,$481.68,($0.50)
04/24/2025,04/24/2025,04/24/2025,MSFT,Microsoft Corporation CUSIP: 594918104 Cash Div: R/D 04/18/2025 P/D 04/24/2025 - 0.259177 shares at 1.1903,CDIV,,,$0.31
03/25/2025,03/25/2025,03/25/2025,AAPL,Apple Inc CUSIP: 037833100 Cash Div: R/D 03/19/2025 P/D 03/25/2025 - 0.423219 shares at 1.1743,CDIV,,,$0.50
10/28/2024,10/28/2024,10/28/2024,AAPL,Apple Inc CUSIP: 037833100 Cash Div: R/D 10/23/2024 P/D 10/28/2024 - 0.301517 shares at 0.8056,CDIV,,,$0.24
03/16/2025,03/16/2025,03/17/2025,QCOM,Qualcomm CUSIP: 747525103 Dividend Reinvestment,Buy,0.000666,$146.49,($0.10)
04/11/2025,04/11/2025,04/12/2025,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Dividend Reinvestment,Buy,0.001185,$570.17,($0.68)
08/25/2024,08/25/2024,08/25/2024,TSLA,Tesla Inc CUSIP: 88160R101 Cash Div: R/D 08/18/2024 P/D 08/25/2024 - 0.181651 shares at 0.9549,CDIV,,,$0.17
12/14/2024,12/14/2024,12/16/2024,QCOM,Qualcomm CUSIP: 747525103 Dividend Reinvestment,Buy,0.000887,$151.40,($0.13)
10/11/2024,10/11/2024,10/11/2024,QCOM,Qualcomm CUSIP: 747525103 Cash Div: R/D 10/06/2024 P/D 10/11/2024 - 0.269134 shares at 0.4645,CDIV,,,$0.13
05/21/2025,05/21/2025,05/23/2025,QCOM,Qualcomm CUSIP: 747525103 Dividend Reinvestment,Buy,0.000516,$177.18,($0.09)
10/07/2024,10/07/2024,10/09/2024,JNJ,Johnson & Johnson CUSIP: 478160104 Dividend Reinvestment,Buy,0.001357,$131.38,($0.18)
11/18/2024,11/18/2024,11/18/2024,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 11/13/2024 P/D 11/18/2024 - 0.103007 shares at 1.0195,CDIV,,,$0.11
04/07/2025,04/07/2025,04/09/2025,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Dividend Reinvestment,Buy,0.000926,$554.51,($0.51)
03/25/2025,03/25/2025,03/27/2025,QCOM,Qualcomm CUSIP: 747525103 Dividend Reinvestment,Buy,0.000437,$174.57,($0.08)
06/14/2025,06/14/2025,06/14/2025,MSFT,Microsoft Corporation CUSIP: 594918104 Cash Div: R/D 06/07/2025 P/D 06/14/2025 - 0.48142 shares at 0.4225,CDIV,,,$0.20
05/20/2025,05/20/2025,05/20/2025,MSFT,Microsoft Corporation CUSIP: 594918104 Cash Div: R/D 05/14/2025 P/D 05/20/2025 - 0.462839 shares at 0.5124,CDIV,,,$0.24
06/12/2025,06/12/2025,06/12/2025,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 06/06/2025 P/D 06/12/2025 - 0.309294 shares at 0.4234,CDIV,,,$0.13
08/11/2024,08/11/2024,08/13/2024,QCOM,Qualcomm CUSIP: 747525103 Dividend Reinvestment,Buy,0.000959,$146.28,($0.14)
02/25/2025,02/25/2025,02/25/2025,QCOM,Qualcomm CUSIP: 747525103 Cash Div: R/D 02/19/2025 P/D 02/25/2025 - 0.464523 shares at 1.0478,CDIV,,,$0.49
07/01/2025,07/01/2025,07/02/2025,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Dividend Reinvestment,Buy,0.000741,$469.46,($0.35)
03/26/2025,03/26/2025,03/26/2025,MSFT,Microsoft Corporation CUSIP: 594918104 Cash Div: R/D 03/20/2025 P/D 03/26/2025 - 0.455825 shares at 1.1422,CDIV,,,$0.52
